Energy (eV),DOS_up
-26.22685075,0.0
-26.17735075,0.0
-26.12795075,0.0
-26.078450750000002,0.0
-26.02895075,0.0
-25.97945075,0.0
-25.93005075,0.0
-25.88055075,0.0
-25.83105075,0.0
-25.78165075,0.0
-25.73215075,0.0
-25.68265075,0.0
-25.63315075,0.0
-25.58375075,0.0
-25.53425075,0.0
-25.48475075,0.0
-25.43525075,0.0
-25.38585075,0.0
-25.33635075,0.0
-25.28685075,0.0
-25.23745075,0.0
-25.18795075,0.0
-25.13845075,0.0
-25.088950750000002,0.0
-25.03955075,0.0
-24.99005075,0.0
-24.94055075,0.0
-24.89115075,0.0
-24.84165075,0.0
-24.79215075,0.0
-24.74265075,0.0
-24.69325075,0.0
-24.64375075,0.0
-24.59425075,0.0
-24.544850750000002,0.0
-24.49535075,0.0
-24.44585075,0.0
-24.39635075,0.0
-24.34695075,0.0
-24.29745075,0.0
-24.24795075,0.0
-24.19845075,0.0
-24.14905075,0.0
-24.09955075,0.0
-24.05005075,0.0
-24.000650750000002,0.0
-23.95115075,0.0
-23.90165075,0.0
-23.85215075,0.0
-23.80275075,0.0
-23.75325075,0.0
-23.70375075,0.0
-23.65435075,0.0
-23.60485075,0.0
-23.55535075,0.0
-23.50585075,0.0
-23.456450750000002,0.0
-23.40695075,0.0
-23.35745075,0.0
-23.30805075,0.0
-23.25855075,0.0
-23.20905075,0.0
-23.15955075,0.0
-23.11015075,0.0
-23.06065075,0.0
-23.01115075,0.0
-22.96175075,0.0
-22.912250750000002,0.0
-22.86275075,0.0
-22.81325075,0.0
-22.76385075,0.0
-22.71435075,0.0
-22.66485075,0.0
-22.61535075,0.0
-22.56595075,0.0
-22.51645075,0.0
-22.46695075,0.0
-22.41755075,0.0
-22.368050750000002,0.0
-22.31855075,0.0
-22.26905075,0.0
-22.21965075,0.0
-22.17015075,0.0
-22.12065075,0.0
-22.07125075,0.0
-22.02175075,0.0
-21.97225075,0.0
-21.92275075,0.0
-21.87335075,0.0
-21.823850750000002,0.0
-21.77435075,0.0
-21.72495075,0.0
-21.67545075,0.0
-21.62595075,0.0
-21.57645075,0.0
-21.52705075,0.0
-21.47755075,0.0
-21.42805075,0.0
-21.37855075,0.0
-21.32915075,0.0
-21.279650750000002,0.0
-21.23015075,0.0
-21.18075075,0.0
-21.13125075,0.0
-21.08175075,0.0
-21.03225075,0.0
-20.98285075,0.0
-20.933350750000002,0.0
-20.88385075,0.0
-20.834450750000002,0.0
-20.78495075,0.0
-20.73545075,0.0
-20.68595075,0.0
-20.636550749999998,0.0
-20.587050750000003,0.0
-20.53755075,0.0
-20.488150750000003,0.0
