Energy (eV),DOS_up,DOS_down
-28.540527100000002,0.0,-0.0
-28.4940271,0.0,-0.0
-28.447427100000002,0.0,-0.0
-28.4009271,0.0,-0.0
-28.354427100000002,0.0,-0.0
-28.3078271,0.0,-0.0
-28.261327100000003,0.0,-0.0
-28.2147271,0.0,-0.0
-28.168227100000003,0.0,-0.0
-28.1217271,0.0,-0.0
-28.0751271,0.0,-0.0
-28.0286271,0.0,-0.0
-27.9820271,0.0,-0.0
-27.9355271,0.0,-0.0
-27.8890271,0.0,-0.0
-27.842427100000002,0.0,-0.0
-27.7959271,0.0,-0.0
-27.749327100000002,0.0,-0.0
-27.7028271,0.0,-0.0
-27.656327100000002,0.0,-0.0
-27.6097271,0.0,-0.0
-27.563227100000002,0.0,-0.0
-27.5167271,0.0,-0.0
-27.470127100000003,0.0,-0.0
-27.4236271,0.0,-0.0
-27.377027100000003,0.0,-0.0
-27.3305271,0.0,-0.0
-27.284027100000003,0.0,-0.0
-27.2374271,0.0,-0.0
-27.1909271,0.0,-0.0
-27.1443271,0.0,-0.0
-27.0978271,0.0,-0.0
-27.0513271,0.0,-0.0
-27.0047271,0.0,-0.0
-26.958227100000002,0.0,-0.0
-26.9116271,0.0,-0.0
-26.865127100000002,0.0,-0.0
-26.8186271,0.0,-0.0
-26.772027100000003,0.0,-0.0
-26.7255271,0.0,-0.0
-26.678927100000003,0.0,-0.0
-26.6324271,0.0,-0.0
-26.585927100000003,0.0,-0.0
-26.5393271,0.0,-0.0
-26.4928271,0.0,-0.0
-26.4462271,0.0,-0.0
-26.3997271,0.0,-0.0
-26.3532271,0.0,-0.0
-26.3066271,0.0,-0.0
-26.260127100000002,0.0,-0.0
-26.2135271,0.0,-0.0
-26.167027100000002,0.0,-0.0
-26.1205271,0.0,-0.0
-26.073927100000002,0.0,-0.0
-26.0274271,0.0,-0.0
-25.980827100000003,0.0,-0.0
-25.9343271,0.0,-0.0
-25.887827100000003,0.0,-0.0
-25.8412271,0.0,-0.0
-25.794727100000003,0.0,-0.0
-25.7481271,0.0,-0.0
-25.7016271,0.0,-0.0
-25.6551271,0.0,-0.0
-25.6085271,0.0,-0.0
-25.5620271,0.0,-0.0
-25.5154271,0.0,-0.0
-25.468927100000002,0.0,-0.0
-25.4224271,0.0,-0.0
-25.375827100000002,0.0,-0.0
-25.3293271,0.0,-0.0
-25.282727100000002,0.0,-0.0
-25.2362271,0.0,-0.0
-25.189727100000002,0.0,-0.0
-25.1431271,0.0,-0.0
-25.096627100000003,0.0,-0.0
-25.0500271,0.0,-0.0
-25.003527100000003,0.0,-0.0
-24.9570271,0.0,-0.0
-24.9104271,0.0,-0.0
-24.8639271,0.0,-0.0
-24.8173271,0.0,-0.0
-24.7708271,0.0,-0.0
-24.7243271,0.0,-0.0
-24.677727100000002,0.0,-0.0
-24.6312271,0.0,-0.0
-24.584627100000002,0.0,-0.0
-24.5381271,0.0,-0.0
-24.491627100000002,0.0,-0.0
-24.4450271,0.0,-0.0
-24.398527100000003,0.0,-0.0
-24.3519271,0.0,-0.0
-24.305427100000003,0.0,-0.0
-24.2589271,0.0,-0.0
-24.2123271,0.0,-0.0
-24.1658271,0.0,-0.0
-24.1192271,0.0,-0.0
-24.0727271,0.0,-0.0
-24.0262271,0.0,-0.0
-23.979627100000002,0.0,-0.0
-23.9331271,0.0,-0.0
-23.886527100000002,0.0,-0.0
-23.8400271,0.0,-0.0
-23.793527100000002,0.0,-0.0
-23.7469271,0.0,-0.0
-23.700427100000002,0.0,-0.0
-23.6538271,0.0,-0.0
-23.607327100000003,0.0,-0.0
-23.5608271,0.0,-0.0
-23.514227100000003,0.0,-0.0
-23.4677271,0.0,-0.0
-23.4211271,0.0,-0.0
-23.3746271,0.0,-0.0
-23.3281271,0.0,-0.0
-23.2815271,0.0,-0.0
-23.2350271,0.0,-0.0
-23.188427100000002,0.0,-0.0
-23.1419271,0.0,-0.0
-23.095427100000002,0.0,-0.0
-23.0488271,0.0,-0.0
-23.002327100000002,0.0,-0.0
-22.9557271,0.0,-0.0
-22.909227100000003,0.0,-0.0
-22.8627271,0.0,-0.0
-22.816127100000003,0.0,-0.0
-22.7696271,0.0,-0.0
-22.723027100000003,0.0,-0.0
-22.6765271,0.0,-0.0
-22.6300271,0.0,-0.0
